var_name,iv_value,iv_rank,n_of_bin,missing_rate(%),n_of_unique,is_continuous
date_ratio_7,0.75852,1,10,0.0,240,True
user_total_login_cnt,0.74357,2,10,0.0,64,True
date_ratio_15,0.55005,3,10,0.0,392,True
login_tm_dist,0.47838,4,10,0.0,43173,True
rule_uid,0.47742,5,2,0.0,2,False
uc_act_time_3day,0.34507,6,9,19.2,2220,True
uc_act_time_2day,0.34363,7,9,14.2,1778,True
uc_act_time_5day,0.32489,8,9,25.7,2706,True
uc_act_decay_2,0.31143,9,4,0.0,7281,True
user_act_totalCnt,0.30262,10,10,0.0,3134,True
uc_act_ratio_15day,0.29314,11,9,0.0,14813,True
uc_act_time_7day,0.291,12,9,0.0,3035,True
uc_act_ratio_7day,0.28575,13,8,0.0,9882,True
uc_act_time_1day,0.26849,14,9,8.3,1259,True
uc_indegree_2day,0.24196,15,7,24.3,183,True
user_act_time_2day,0.23798,16,10,9.5,2516,True
ratio_act_time_5day,0.22576,17,7,8.5,16636,True
user_date_cnt_b15day,0.22293,18,8,0.0,15,True
uc_indegree_3day,0.21999,19,8,30.9,221,True
mean_uc_act,0.21989,20,10,0.0,1565,True
ratio_act_time_3day,0.21286,21,5,6.4,8628,True
user_act_time_1day,0.21017,22,9,8.5,1688,True
uc_last_tm_dist,0.20846,23,10,0.0,41181,True
uc_indegree_1day,0.20715,24,7,15.3,141,True
ratio_act_time_2day,0.19868,25,5,4.7,5612,True
user_act_time_3day,0.19838,26,10,12.9,3218,True
uc_act_ratio_60day,0.19763,27,10,0.0,26234,True
ratio_indegree_3day,0.19344,28,6,6.6,1781,True
ratio_indegree_2day,0.19114,29,6,4.8,1232,True
uc_date_ratio_15,0.18581,30,6,0.0,72,True
uc_act_2,0.1838,31,3,0.0,39,True
user_act_time_5day,0.1831,32,10,17.8,4712,True
indegree_total_2day,0.18207,33,9,17.0,259,True
uc_act_totalCnt,0.18158,34,10,0.0,1412,True
uc_indegree_5day,0.18053,35,8,38.0,260,True
user_lv_cd,0.17685,36,5,0.0,5,False
indegree_total_1day,0.17519,37,8,11.4,180,True
ratio_act_time_1day,0.17237,38,4,2.7,2819,True
uc_act_totalCnt_7day,0.17007,39,10,0.0,751,True
uc_act_decay_1,0.16769,40,10,0.0,35191,True
ratio_indegree_1day,0.16708,41,5,2.8,691,True
uc_act_decay_6,0.16023,42,10,0.0,34962,True
ratio_act_time_7day,0.15729,43,5,0.0,16578,True
uc_date_ratio_7,0.15521,44,4,0.0,18,True
ratio_indegree_5day,0.15296,45,7,8.5,2552,True
ratio_indegree_7day,0.15219,46,6,0.0,3330,True
indegree_total_3day,0.13569,47,9,20.1,346,True
uc_indegree_7day,0.1318,48,7,0.0,295,True
last_tm_dist,0.11239,49,10,0.0,40398,True
user_act_time_7day,0.09993,50,9,0.0,4848,True
uc_act_time_zone_2,0.09721,51,5,0.0,899,True
indegree_total_5day,0.09495,52,10,23.0,445,True
uc_date_cnt_b15day,0.08045,53,5,0.0,15,True
uc_act_time_zone_3,0.07586,54,6,0.0,1036,True
freq_click,0.06418,55,10,0.0,7992,True
uc_buy_bool_day7,0.0576,56,6,52.3,5,False
uc_act_totalCnt_15day,0.04084,57,10,0.0,980,True
uc_date_cnt_b7day,0.03488,58,7,0.0,7,False
user_date_cnt_b7day,0.03359,59,7,0.0,7,False
user_act_totalCnt_7day,0.02924,60,10,0.0,1258,True
uc_act_time_zone_1,0.02875,61,5,0.0,799,True
ratio_1_6,0.02677,62,10,0.0,5383,True
indegree_total_7day,0.02428,63,9,0.0,519,True
reg_tm_dist,0.02053,64,10,0.0,3189,True
uc_act_decay_3,0.02024,65,2,0.0,2907,True
max_click,0.01845,66,10,0.0,56,True
user_id,0.01593,67,10,0.0,43503,True
user_act_totalCnt_15day,0.01255,68,10,0.0,1769,True
uc_act_time_zone_0,1e-05,69,2,0.0,607,True
uc_act_5,0.0,70,1,0.0,20,True
uc_act_4,0.0,71,1,0.0,1,False
uc_act_decay_5,0.0,72,1,0.0,1814,True
